,id_plataform,type,title,release_year,rating,duration,score
15064,n,movie,ahaan,2021,TV-MA,81 min,21
15065,n,tv show,booba: food puzzle,2021,TV-Y,1 Season,90
15066,n,movie,love or money,2020,TV-MA,116 min,81
15067,n,tv show,alma matters,2021,TV-MA,1 Season,80
15068,n,movie,cinema bandi,2021,TV-MA,99 min,66
15069,n,movie,ferry,2021,TV-MA,107 min,65
15070,n,tv show,halston,2021,TV-MA,1 Season,21
15071,n,tv show,haunted,2021,TV-MA,3 Seasons,38
15072,n,movie,i am all girls,2021,TV-MA,107 min,34
15073,n,movie,jungle beat: the movie,2021,TV-Y7,90 min,83
15074,n,tv show,"love, death & robots",2021,TV-MA,2 Seasons,67
15075,n,tv show,move to heaven,2021,TV-MA,1 Season,11
15076,n,movie,table manners,2018,TV-MA,104 min,52
15077,n,tv show,the mystic river,2020,TV-14,1 Season,9
15078,n,movie,the strange house,2020,TV-MA,100 min,100
15079,n,movie,the upshaws - the afterparty,2021,TV-14,32 min,22
15080,n,movie,the woman in the window,2021,R,102 min,85
15081,n,tv show,castlevania,2021,TV-MA,4 Seasons,98
15082,n,movie,layer cake,2004,R,105 min,19
15083,n,movie,tottaa pataaka item maal,2018,TV-MA,107 min,61
15084,n,movie,wave of cinema: filosofi kopi,2020,TV-14,64 min,86
15085,n,movie,dance of the forty one,2021,TV-MA,99 min,21
15086,n,movie,oxygen,2021,TV-14,102 min,63
15087,n,tv show,the upshaws,2021,TV-14,1 Season,51
15088,n,tv show,use for my talent,2021,TV-14,1 Season,28
15089,n,movie,dear affy,2020,TV-14,126 min,89
15090,n,movie,illegal woman,2020,TV-MA,119 min,94
15091,n,tv show,"money, explained",2021,TV-14,1 Season,82
15092,n,movie,deadly switch,2019,TV-PG,86 min,6
15093,n,tv show,mine,2021,TV-14,1 Season,28
15094,n,movie,nayattu,2021,TV-MA,122 min,67
15095,n,movie,sleepless,2017,R,95 min,31
15096,n,movie,super me,2021,TV-14,104 min,77
15097,n,movie,have you ever seen fireflies? - theatre play,1999,TV-MA,118 min,58
15098,n,movie,in our mothers' gardens,2020,TV-MA,85 min,87
15099,n,tv show,jupiter's legacy,2021,TV-MA,1 Season,49
15100,n,movie,milestone,2021,TV-14,98 min,51
15101,n,movie,monster,2021,TV-MA,99 min,32
15102,n,tv show,sab jholmaal hai,2017,TV-Y7,2 Seasons,4
15103,n,movie,the circle - the afterparty,2021,TV-14,35 min,21
15104,n,movie,time to dance,2020,TV-PG,107 min,83
15105,n,movie,unrest,2017,TV-MA,97 min,68
15106,n,movie,and tomorrow the entire world,2020,TV-MA,112 min,35
15107,n,movie,dead man down,2013,R,118 min,100
15108,n,movie,framing john delorean,2019,TV-MA,109 min,83
15109,n,tv show,lava ka dhaava,2021,TV-PG,1 Season,2
15110,n,tv show,the sons of sam: a descent into darkness,2021,TV-MA,1 Season,61
15111,n,tv show,selena: the series,2020,TV-PG,2 Seasons,87
15112,n,tv show,startup,2018,TV-MA,3 Seasons,78
15113,n,movie,the clovehitch killer,2018,TV-MA,109 min,39
15114,n,tv show,trash truck,2021,TV-Y,2 Seasons,5
15115,n,movie,aliens stole my body,2020,PG,88 min,83
15116,n,tv show,angelina ballerina,2010,TV-Y,2 Seasons,60
15117,n,movie,au coeur des gangs,2006,R,97 min,17
15118,n,tv show,barney and friends,2010,TV-Y,2 Seasons,20
15119,n,movie,best of the best,1989,PG-13,97 min,49
15120,n,movie,dead again in tombstone,2017,R,99 min,5
15121,n,movie,due date,2010,R,95 min,3
15122,n,movie,fun with dick & jane,2005,PG-13,91 min,96
15123,n,movie,green zone,2010,R,115 min,74
15124,n,movie,hachi: a dog's tale,2009,G,93 min,72
15125,n,movie,jt leroy,2018,R,109 min,42
15126,n,movie,madagascar 3: europe's most wanted,2012,PG,96 min,59
15127,n,tv show,miniforce: super dino power,2020,TV-Y7,1 Season,65
15128,n,movie,motu patlu in dragon's world,2017,TV-Y7,78 min,16
15129,n,movie,motu patlu in the game of zones,2019,TV-Y7,87 min,45
15130,n,movie,motu patlu in wonderland,2013,TV-Y7,76 min,55
15131,n,movie,motu patlu: deep sea adventure,2014,TV-Y7,76 min,32
15132,n,movie,motu patlu: mission moon,2013,TV-Y7,71 min,14
15133,n,movie,mystic river,2003,R,138 min,96
15134,n,movie,never back down,2008,PG-13,113 min,13
15135,n,movie,s.m.a.r.t chase,2018,TV-MA,94 min,70
15136,n,movie,sitting in limbo,2020,TV-MA,89 min,68
15137,n,movie,stargate,1994,PG-13,121 min,69
15138,n,movie,state of play,2009,PG-13,127 min,11
15139,n,movie,swiped,2018,TV-14,94 min,18
15140,n,movie,the darkest hour,2011,PG-13,89 min,24
15141,n,movie,the lovely bones,2009,PG-13,136 min,81
15142,n,movie,the sweetest thing,2002,R,89 min,27
15143,n,movie,the whole nine yards,2000,R,99 min,26
15144,n,movie,the whole truth,2016,R,93 min,24
15145,n,movie,the yeti adventures,2018,TV-PG,85 min,44
15146,n,movie,under siege,1992,R,102 min,30
15147,n,movie,zack and miri make a porno,2008,R,101 min,70
15148,n,tv show,pet stars,2021,TV-PG,1 Season,98
15149,n,movie,seven,2019,TV-14,113 min,86
15150,n,movie,the disciple,2021,TV-MA,128 min,57
15151,n,tv show,the innocent,2021,TV-MA,1 Season,21
15152,n,movie,the mitchells vs. the machines,2021,PG,114 min,84
15153,n,movie,the strangers: prey at night,2018,R,85 min,64
15154,n,tv show,the unremarkable juanquini,2021,TV-MA,2 Seasons,22
15155,n,movie,things heard & seen,2021,TV-MA,121 min,73
15156,n,tv show,yasuke,2021,TV-MA,1 Season,64
15157,n,movie,get the grift,2021,TV-MA,95 min,39
15158,n,tv show,headspace guide to sleep,2021,TV-G,1 Season,20
15159,n,tv show,sexify,2021,TV-MA,1 Season,86
15160,n,movie,august: osage county,2014,R,121 min,30
15161,n,movie,battle: los angeles,2011,PG-13,116 min,83
15162,n,movie,between worlds,2018,R,91 min,60
15163,n,tv show,fatma,2021,TV-MA,1 Season,88
15164,n,movie,one,2020,TV-PG,149 min,25
15165,n,movie,ram prasad ki tehrvi,2019,TV-14,113 min,33
15166,n,movie,shadow and bone - the afterparty,2021,TV-14,33 min,44
15167,n,movie,among family,2017,TV-14,127 min,70
15168,n,movie,dedemin fisi,2016,TV-14,101 min,16
15169,n,movie,deliha,2014,TV-MA,102 min,24
15170,n,movie,dügün dernek,2013,TV-MA,102 min,16
15171,n,movie,dügün dernek 2: sünnet,2015,TV-MA,107 min,80
15172,n,movie,g.o.r.a,2004,TV-MA,123 min,97
15173,n,movie,hayat öpücügü,2015,TV-14,98 min,60
15174,n,movie,heroes: silence and rock & roll,2021,TV-MA,95 min,13
15175,n,movie,kara bela,2015,TV-MA,101 min,1
15176,n,movie,kocan kadar konus,2015,TV-MA,104 min,99
15177,n,movie,kocan kadar konus 2: dirilis,2016,TV-14,104 min,21
15178,n,movie,legal hash,2019,TV-MA,103 min,92
15179,n,tv show,let's fight ghost,2021,TV-14,1 Season,82
15180,n,movie,my travel buddy,2017,TV-MA,111 min,94
15181,n,movie,niyazi gül dörtnala,2015,TV-MA,102 min,86
15182,n,movie,one like it,2020,TV-G,15 min,25
15183,n,movie,perfume imaginary museum “time warp”,2020,TV-G,54 min,92
15184,n,tv show,shadow and bone,2021,TV-14,1 Season,16
15185,n,movie,this lady called life,2020,TV-14,120 min,52
15186,n,movie,vizontele,2001,TV-MA,106 min,24
15187,n,movie,homunculus,2021,TV-MA,116 min,99
15188,n,tv show,life in color with david attenborough,2021,TV-PG,1 Season,42
15189,n,movie,searching for sheela,2021,TV-14,58 min,60
15190,n,movie,stowaway,2021,TV-MA,116 min,73
15191,n,movie,wild dog,2020,TV-MA,126 min,4
15192,n,movie,oloibiri,2015,TV-14,86 min,51
15193,n,movie,tell me when,2021,TV-MA,97 min,90
15194,n,tv show,zero,2021,TV-MA,1 Season,89
15195,n,tv show,izzy's koala world,2021,TV-Y,2 Seasons,71
15196,n,movie,keymon and nani in space adventure,2013,TV-Y,76 min,99
15197,n,movie,motu patlu dino invasion,2018,TV-Y7,80 min,16
15198,n,movie,motu patlu in octupus world,2017,TV-Y,81 min,19
15199,n,movie,motu patlu vs robo kids,2019,TV-Y,84 min,74
15200,n,movie,rudra: secret of the black moon,2020,TV-Y7,87 min,80
15201,n,movie,rudra: the rise of king pharaoh,2019,TV-Y7,91 min,5
15202,n,movie,free to play,2014,TV-14,76 min,42
15203,n,tv show,luis miguel - the series,2021,TV-MA,2 Seasons,37
15204,n,movie,miss sloane,2016,R,132 min,2
15205,n,tv show,pj masks,2019,TV-Y,3 Seasons,78
15206,n,movie,american me,1992,R,126 min,1
15207,n,movie,delhi belly,2011,TV-MA,101 min,5
15208,n,movie,dhobi ghat (mumbai diaries),2010,TV-MA,102 min,32
15209,n,movie,jaane tu... ya jaane na,2008,TV-14,147 min,21
15210,n,movie,lagaan,2001,PG,224 min,68
15211,n,movie,madness in the desert,2004,TV-14,141 min,98
15212,n,movie,peepli live,2010,TV-MA,109 min,15
15213,n,movie,taare zameen par,2007,PG,162 min,59
15214,n,movie,ajeeb daastaans,2021,TV-MA,142 min,76
15215,n,movie,arlo the alligator boy,2021,TV-Y7,93 min,5
15216,n,tv show,bakugan: geogan rising,2021,TV-Y7,1 Season,1
15217,n,movie,barbie & chelsea: the lost birthday,2021,TV-Y,60 min,4
15218,n,movie,crimson peak,2015,R,119 min,80
15219,n,movie,dad stop embarrassing me - the afterparty,2021,TV-14,37 min,12
15220,n,movie,doctor bello,2013,TV-MA,96 min,76
